1	A Corua (La Corua)	87	2006-02-15 09:45:25
2	Abha	82	2006-02-15 09:45:25
3	Abu Dhabi	101	2006-02-15 09:45:25
4	Acua	60	2006-02-15 09:45:25
5	Adana	97	2006-02-15 09:45:25
6	Addis Abeba	31	2006-02-15 09:45:25
7	Aden	107	2006-02-15 09:45:25
8	Adoni	44	2006-02-15 09:45:25
9	Ahmadnagar	44	2006-02-15 09:45:25
10	Akishima	50	2006-02-15 09:45:25
11	Akron	103	2006-02-15 09:45:25
12	al-Ayn	101	2006-02-15 09:45:25
13	al-Hawiya	82	2006-02-15 09:45:25
14	al-Manama	11	2006-02-15 09:45:25
15	al-Qadarif	89	2006-02-15 09:45:25
16	al-Qatif	82	2006-02-15 09:45:25
17	Alessandria	49	2006-02-15 09:45:25
18	Allappuzha (Alleppey)	44	2006-02-15 09:45:25
19	Allende	60	2006-02-15 09:45:25
20	Almirante Brown	6	2006-02-15 09:45:25
21	Alvorada	15	2006-02-15 09:45:25
22	Ambattur	44	2006-02-15 09:45:25
23	Amersfoort	67	2006-02-15 09:45:25
24	Amroha	44	2006-02-15 09:45:25
25	Angra dos Reis	15	2006-02-15 09:45:25
26	Anpolis	15	2006-02-15 09:45:25
27	Antofagasta	22	2006-02-15 09:45:25
28	Aparecida de Goinia	15	2006-02-15 09:45:25
29	Apeldoorn	67	2006-02-15 09:45:25
30	Araatuba	15	2006-02-15 09:45:25
31	Arak	46	2006-02-15 09:45:25
32	Arecibo	77	2006-02-15 09:45:25
33	Arlington	103	2006-02-15 09:45:25
34	Ashdod	48	2006-02-15 09:45:25
35	Ashgabat	98	2006-02-15 09:45:25
36	Ashqelon	48	2006-02-15 09:45:25
37	Asuncin	73	2006-02-15 09:45:25
38	Athenai	39	2006-02-15 09:45:25
39	Atinsk	80	2006-02-15 09:45:25
40	Atlixco	60	2006-02-15 09:45:25
41	Augusta-Richmond County	103	2006-02-15 09:45:25
42	Aurora	103	2006-02-15 09:45:25
43	Avellaneda	6	2006-02-15 09:45:25
44	Bag	15	2006-02-15 09:45:25
45	Baha Blanca	6	2006-02-15 09:45:25
46	Baicheng	23	2006-02-15 09:45:25
47	Baiyin	23	2006-02-15 09:45:25
48	Baku	10	2006-02-15 09:45:25
49	Balaiha	80	2006-02-15 09:45:25
50	Balikesir	97	2006-02-15 09:45:25
51	Balurghat	44	2006-02-15 09:45:25
52	Bamenda	19	2006-02-15 09:45:25
53	Bandar Seri Begawan	16	2006-02-15 09:45:25
54	Banjul	37	2006-02-15 09:45:25
55	Barcelona	104	2006-02-15 09:45:25
56	Basel	91	2006-02-15 09:45:25
57	Bat Yam	48	2006-02-15 09:45:25
58	Batman	97	2006-02-15 09:45:25
59	Batna	2	2006-02-15 09:45:25
60	Battambang	18	2006-02-15 09:45:25
61	Baybay	75	2006-02-15 09:45:25
62	Bayugan	75	2006-02-15 09:45:25
63	Bchar	2	2006-02-15 09:45:25
64	Beira	63	2006-02-15 09:45:25
65	Bellevue	103	2006-02-15 09:45:25
66	Belm	15	2006-02-15 09:45:25
67	Benguela	4	2006-02-15 09:45:25
68	Beni-Mellal	62	2006-02-15 09:45:25
69	Benin City	69	2006-02-15 09:45:25
70	Bergamo	49	2006-02-15 09:45:25
71	Berhampore (Baharampur)	44	2006-02-15 09:45:25
72	Bern	91	2006-02-15 09:45:25
73	Bhavnagar	44	2006-02-15 09:45:25
74	Bhilwara	44	2006-02-15 09:45:25
75	Bhimavaram	44	2006-02-15 09:45:25
76	Bhopal	44	2006-02-15 09:45:25
77	Bhusawal	44	2006-02-15 09:45:25
78	Bijapur	44	2006-02-15 09:45:25
79	Bilbays	29	2006-02-15 09:45:25
80	Binzhou	23	2006-02-15 09:45:25
81	Birgunj	66	2006-02-15 09:45:25
82	Bislig	75	2006-02-15 09:45:25
83	Blumenau	15	2006-02-15 09:45:25
84	Boa Vista	15	2006-02-15 09:45:25
85	Boksburg	85	2006-02-15 09:45:25
86	Botosani	78	2006-02-15 09:45:25
87	Botshabelo	85	2006-02-15 09:45:25
88	Bradford	102	2006-02-15 09:45:25
89	Braslia	15	2006-02-15 09:45:25
90	Bratislava	84	2006-02-15 09:45:25
91	Brescia	49	2006-02-15 09:45:25
92	Brest	34	2006-02-15 09:45:25
93	Brindisi	49	2006-02-15 09:45:25
94	Brockton	103	2006-02-15 09:45:25
95	Bucuresti	78	2006-02-15 09:45:25
96	Buenaventura	24	2006-02-15 09:45:25
97	Bydgoszcz	76	2006-02-15 09:45:25
98	Cabuyao	75	2006-02-15 09:45:25
99	Callao	74	2006-02-15 09:45:25
100	Cam Ranh	105	2006-02-15 09:45:25
101	Cape Coral	103	2006-02-15 09:45:25
102	Caracas	104	2006-02-15 09:45:25
103	Carmen	60	2006-02-15 09:45:25
104	Cavite	75	2006-02-15 09:45:25
105	Cayenne	35	2006-02-15 09:45:25
106	Celaya	60	2006-02-15 09:45:25
107	Chandrapur	44	2006-02-15 09:45:25
108	Changhwa	92	2006-02-15 09:45:25
109	Changzhou	23	2006-02-15 09:45:25
110	Chapra	44	2006-02-15 09:45:25
111	Charlotte Amalie	106	2006-02-15 09:45:25
112	Chatsworth	85	2006-02-15 09:45:25
113	Cheju	86	2006-02-15 09:45:25
114	Chiayi	92	2006-02-15 09:45:25
115	Chisinau	61	2006-02-15 09:45:25
116	Chungho	92	2006-02-15 09:45:25
117	Cianjur	45	2006-02-15 09:45:25
118	Ciomas	45	2006-02-15 09:45:25
119	Ciparay	45	2006-02-15 09:45:25
120	Citrus Heights	103	2006-02-15 09:45:25
121	Citt del Vaticano	41	2006-02-15 09:45:25
122	Ciudad del Este	73	2006-02-15 09:45:25
123	Clarksville	103	2006-02-15 09:45:25
124	Coacalco de Berriozbal	60	2006-02-15 09:45:25
125	Coatzacoalcos	60	2006-02-15 09:45:25
126	Compton	103	2006-02-15 09:45:25
127	Coquimbo	22	2006-02-15 09:45:25
128	Crdoba	6	2006-02-15 09:45:25
129	Cuauhtmoc	60	2006-02-15 09:45:25
130	Cuautla	60	2006-02-15 09:45:25
131	Cuernavaca	60	2006-02-15 09:45:25
132	Cuman	104	2006-02-15 09:45:25
133	Czestochowa	76	2006-02-15 09:45:25
134	Dadu	72	2006-02-15 09:45:25
135	Dallas	103	2006-02-15 09:45:25
136	Datong	23	2006-02-15 09:45:25
137	Daugavpils	54	2006-02-15 09:45:25
138	Davao	75	2006-02-15 09:45:25
139	Daxian	23	2006-02-15 09:45:25
140	Dayton	103	2006-02-15 09:45:25
141	Deba Habe	69	2006-02-15 09:45:25
142	Denizli	97	2006-02-15 09:45:25
143	Dhaka	12	2006-02-15 09:45:25
144	Dhule (Dhulia)	44	2006-02-15 09:45:25
145	Dongying	23	2006-02-15 09:45:25
146	Donostia-San Sebastin	87	2006-02-15 09:45:25
147	Dos Quebradas	24	2006-02-15 09:45:25
148	Duisburg	38	2006-02-15 09:45:25
149	Dundee	102	2006-02-15 09:45:25
150	Dzerzinsk	80	2006-02-15 09:45:25
151	Ede	67	2006-02-15 09:45:25
152	Effon-Alaiye	69	2006-02-15 09:45:25
153	El Alto	14	2006-02-15 09:45:25
154	El Fuerte	60	2006-02-15 09:45:25
155	El Monte	103	2006-02-15 09:45:25
156	Elista	80	2006-02-15 09:45:25
157	Emeishan	23	2006-02-15 09:45:25
158	Emmen	67	2006-02-15 09:45:25
159	Enshi	23	2006-02-15 09:45:25
160	Erlangen	38	2006-02-15 09:45:25
161	Escobar	6	2006-02-15 09:45:25
162	Esfahan	46	2006-02-15 09:45:25
163	Eskisehir	97	2006-02-15 09:45:25
164	Etawah	44	2006-02-15 09:45:25
165	Ezeiza	6	2006-02-15 09:45:25
166	Ezhou	23	2006-02-15 09:45:25
167	Faaa	36	2006-02-15 09:45:25
168	Fengshan	92	2006-02-15 09:45:25
169	Firozabad	44	2006-02-15 09:45:25
