1	1	1	2006-02-15 09:57:12
2	2	2	2006-02-15 09:57:12
212001	211001	111001	2006-02-15 09:45:30
212002	211002	111002	2006-02-15 09:45:30
212003	211003	111003	2006-02-15 09:45:30
212004	211004	111004	2006-02-15 09:45:30
212005	211005	111005	2006-02-15 09:45:30
212006	211006	111006	2006-02-15 09:45:30
212007	211007	111007	2006-02-15 09:45:30
212008	211008	111008	2006-02-15 09:45:30
212009	211009	111009	2006-02-15 09:45:30
212010	211010	111010	2006-02-15 09:45:30
212011	211011	111011	2006-02-15 09:45:30
212012	211012	111012	2006-02-15 09:45:30
212013	211013	111013	2006-02-15 09:45:30
212014	211014	111014	2006-02-15 09:45:30
212015	211015	111015	2006-02-15 09:45:30
212016	211016	111016	2006-02-15 09:45:30
212017	211017	111017	2006-02-15 09:45:30
212018	211018	111018	2006-02-15 09:45:30
212019	211019	111019	2006-02-15 09:45:30
212020	211020	111020	2006-02-15 09:45:30
212021	211021	111021	2006-02-15 09:45:30
212022	211022	111022	2006-02-15 09:45:30
212023	211023	111023	2006-02-15 09:45:30
212024	211024	111024	2006-02-15 09:45:30
212025	211025	111025	2006-02-15 09:45:30
212026	211026	111026	2006-02-15 09:45:30
212027	211027	111027	2006-02-15 09:45:30
212028	211028	111028	2006-02-15 09:45:30
212029	211029	111029	2006-02-15 09:45:30
212030	211030	111030	2006-02-15 09:45:30
212031	211031	111031	2006-02-15 09:45:30
212032	211032	111032	2006-02-15 09:45:30
212033	211033	111033	2006-02-15 09:45:30
212034	211034	111034	2006-02-15 09:45:30
212035	211035	111035	2006-02-15 09:45:30
212036	211036	111036	2006-02-15 09:45:30
212037	211037	111037	2006-02-15 09:45:30
212038	211038	111038	2006-02-15 09:45:30
212039	211039	111039	2006-02-15 09:45:30
212040	211040	111040	2006-02-15 09:45:30
212041	211041	111041	2006-02-15 09:45:30
212042	211042	111042	2006-02-15 09:45:30
212043	211043	111043	2006-02-15 09:45:30
212044	211044	111044	2006-02-15 09:45:30
212045	211045	111045	2006-02-15 09:45:30
212046	211046	111046	2006-02-15 09:45:30
212047	211047	111047	2006-02-15 09:45:30
212048	211048	111048	2006-02-15 09:45:30
212049	211049	111049	2006-02-15 09:45:30
212050	211050	111050	2006-02-15 09:45:30
212051	211051	111051	2006-02-15 09:45:30
212052	211052	111052	2006-02-15 09:45:30
212053	211053	111053	2006-02-15 09:45:30
212054	211054	111054	2006-02-15 09:45:30
212055	211055	111055	2006-02-15 09:45:30
212056	211056	111056	2006-02-15 09:45:30
212057	211057	111057	2006-02-15 09:45:30
212058	211058	111058	2006-02-15 09:45:30
212059	211059	111059	2006-02-15 09:45:30
212060	211060	111060	2006-02-15 09:45:30
212061	211061	111061	2006-02-15 09:45:30
212062	211062	111062	2006-02-15 09:45:30
212063	211063	111063	2006-02-15 09:45:30
212064	211064	111064	2006-02-15 09:45:30
212065	211065	111065	2006-02-15 09:45:30
212066	211066	111066	2006-02-15 09:45:30
212067	211067	111067	2006-02-15 09:45:30
212068	211068	111068	2006-02-15 09:45:30
212069	211069	111069	2006-02-15 09:45:30
212070	211070	111070	2006-02-15 09:45:30
212071	211071	111071	2006-02-15 09:45:30
212072	211072	111072	2006-02-15 09:45:30
212073	211073	111073	2006-02-15 09:45:30
212074	211074	111074	2006-02-15 09:45:30
212075	211075	111075	2006-02-15 09:45:30
212076	211076	111076	2006-02-15 09:45:30
212077	211077	111077	2006-02-15 09:45:30
212078	211078	111078	2006-02-15 09:45:30
212079	211079	111079	2006-02-15 09:45:30
212080	211080	111080	2006-02-15 09:45:30
212081	211081	111081	2006-02-15 09:45:30
212082	211082	111082	2006-02-15 09:45:30
212083	211083	111083	2006-02-15 09:45:30
212084	211084	111084	2006-02-15 09:45:30
212085	211085	111085	2006-02-15 09:45:30
212086	211086	111086	2006-02-15 09:45:30
212087	211087	111087	2006-02-15 09:45:30
212088	211088	111088	2006-02-15 09:45:30
212089	211089	111089	2006-02-15 09:45:30
212090	211090	111090	2006-02-15 09:45:30
212091	211091	111091	2006-02-15 09:45:30
212092	211092	111092	2006-02-15 09:45:30
212093	211093	111093	2006-02-15 09:45:30
212094	211094	111094	2006-02-15 09:45:30
212095	211095	111095	2006-02-15 09:45:30
212096	211096	111096	2006-02-15 09:45:30
212097	211097	111097	2006-02-15 09:45:30
212098	211098	111098	2006-02-15 09:45:30
212099	211099	111099	2006-02-15 09:45:30
212100	211100	111100	2006-02-15 09:45:30
212101	211101	111101	2006-02-15 09:45:30
212102	211102	111102	2006-02-15 09:45:30
212103	211103	111103	2006-02-15 09:45:30
212104	211104	111104	2006-02-15 09:45:30
212105	211105	111105	2006-02-15 09:45:30
212106	211106	111106	2006-02-15 09:45:30
212107	211107	111107	2006-02-15 09:45:30
212108	211108	111108	2006-02-15 09:45:30
212109	211109	111109	2006-02-15 09:45:30
212110	211110	111110	2006-02-15 09:45:30
212111	211111	111111	2006-02-15 09:45:30
212112	211112	111112	2006-02-15 09:45:30
212113	211113	111113	2006-02-15 09:45:30
212114	211114	111114	2006-02-15 09:45:30
212115	211115	111115	2006-02-15 09:45:30
212116	211116	111116	2006-02-15 09:45:30
212117	211117	111117	2006-02-15 09:45:30
212118	211118	111118	2006-02-15 09:45:30
212119	211119	111119	2006-02-15 09:45:30
212120	211120	111120	2006-02-15 09:45:30
212121	211121	111121	2006-02-15 09:45:30
212122	211122	111122	2006-02-15 09:45:30
212123	211123	111123	2006-02-15 09:45:30
212124	211124	111124	2006-02-15 09:45:30
212125	211125	111125	2006-02-15 09:45:30
212126	211126	111126	2006-02-15 09:45:30
212127	211127	111127	2006-02-15 09:45:30
212128	211128	111128	2006-02-15 09:45:30
212129	211129	111129	2006-02-15 09:45:30
212130	211130	111130	2006-02-15 09:45:30
212131	211131	111131	2006-02-15 09:45:30
212132	211132	111132	2006-02-15 09:45:30
212133	211133	111133	2006-02-15 09:45:30
212134	211134	111134	2006-02-15 09:45:30
212135	211135	111135	2006-02-15 09:45:30
212136	211136	111136	2006-02-15 09:45:30
212137	211137	111137	2006-02-15 09:45:30
212138	211138	111138	2006-02-15 09:45:30
212139	211139	111139	2006-02-15 09:45:30
212140	211140	111140	2006-02-15 09:45:30
212141	211141	111141	2006-02-15 09:45:30
212142	211142	111142	2006-02-15 09:45:30
212143	211143	111143	2006-02-15 09:45:30
212144	211144	111144	2006-02-15 09:45:30
212145	211145	111145	2006-02-15 09:45:30
212146	211146	111146	2006-02-15 09:45:30
212147	211147	111147	2006-02-15 09:45:30
212148	211148	111148	2006-02-15 09:45:30
212149	211149	111149	2006-02-15 09:45:30
212150	211150	111150	2006-02-15 09:45:30
212151	211151	111151	2006-02-15 09:45:30
212152	211152	111152	2006-02-15 09:45:30
212153	211153	111153	2006-02-15 09:45:30
212154	211154	111154	2006-02-15 09:45:30
212155	211155	111155	2006-02-15 09:45:30
212156	211156	111156	2006-02-15 09:45:30
212157	211157	111157	2006-02-15 09:45:30
212158	211158	111158	2006-02-15 09:45:30
212159	211159	111159	2006-02-15 09:45:30
212160	211160	111160	2006-02-15 09:45:30
212161	211161	111161	2006-02-15 09:45:30
212162	211162	111162	2006-02-15 09:45:30
212163	211163	111163	2006-02-15 09:45:30
212164	211164	111164	2006-02-15 09:45:30
212165	211165	111165	2006-02-15 09:45:30
212166	211166	111166	2006-02-15 09:45:30
212167	211167	111167	2006-02-15 09:45:30
212168	211168	111168	2006-02-15 09:45:30
212169	211169	111169	2006-02-15 09:45:30
212170	211170	111170	2006-02-15 09:45:30
212171	211171	111171	2006-02-15 09:45:30
212172	211172	111172	2006-02-15 09:45:30
212173	211173	111173	2006-02-15 09:45:30
212174	211174	111174	2006-02-15 09:45:30
212175	211175	111175	2006-02-15 09:45:30
212176	211176	111176	2006-02-15 09:45:30
212177	211177	111177	2006-02-15 09:45:30
212178	211178	111178	2006-02-15 09:45:30
212179	211179	111179	2006-02-15 09:45:30
212180	211180	111180	2006-02-15 09:45:30
212181	211181	111181	2006-02-15 09:45:30
212182	211182	111182	2006-02-15 09:45:30
